Comment,Sentiment,Toxicity,ambiguity_flag
Người ăn không hết kẻ lần chẳng ra,0,0,1
Đời ta ba mươi đời nó. Mua chiếc xe cũng chỉ phục vụ đi lại được tốt hơn mà thôi. Cần gì những thứ linh tinh kia làm gì.,1,0,0
Thật tuyệt vời!,1,0,0
"Nghe cũng nghẹn lòng thật, tương lai còn dài, lỡ sai vẫn kịp quay lại ...",0,0,1
ko có từ nào hình dung về 2 đứa này đc! ng ta có câu hổ dữ ko ăn thịt con vậy mà.....,0,0,1
"""Một cô giáo đang dạy âm nhạc ở lớp bên cạnh nghe tiếng khóc sang lớp 4C tìm hiểu, cũng thấy choáng váng"" - như vậy phải có tác nhân vật lý cụ thể tác động mới nhanh như vậy. Có thể hơi hóa chất, sóng âm địa tầng,... và tâm linh hơn là ma quỷ tác động lên những người có đáp ứng nhạy cảm tác nhân cao.",0,0,1
"lịch công việc và đi lại của ông dầy đặc như vậy, việc nhiễm nCov khó tránh khỏi, mong chúa phù hộ cho ông sớm khỏi bệnh và tiếp tục dẫn dắt đất nước.",0,0,1
Để nuôi cá sấu!!!!,0,0,1
"So với Kona chưa biết con nào option hơn nhưng Kona nó nhìn đẹp và thanh thoát hơn nhiều.Xem ra Xem ra hộp số DCT của Seltos có vấn đề về nhiệt độ và chuyển số, đã ghi nhận việc tua máy lên cao 4000 vòng ở số 1 mà k chuyển số cao hơn,đã lái thử và thấy rất chán",-1,0,0
Chúc philip nguyễn và liberec vượt qua vòng bảng,-1,0,0
"Chào khán giả, thật ra mình cũng xem phim anh Tuấn vác tù và hàng tổng này lâu rồi,... mình cũng biết anh ấy cùng đồng hành với con và cả nhà anh ấy tập trung lo cho Bôm...dù sao mình cũng mong tất cả gia đình cũng như có gặp phải hoàn cảnh như vậy cùng nhau kiên nhẫn và luôn vững tinh thần trong cuộc sống. Mong cả tất cả bình an và luôn gặp may mắn trong cuộc sống.",1,0,0
"Với giá con luxury mà trang bị như thế em thì mua kona cho lành thật, còn giá Lux cao quá so với thương hiệu KIA, chưa chắc đây đã là đột phá của KIA.",0,0,1
Tăng khung phạt lên trộm chó phạt 10 năm tù ! Ko tăng là còn nhiều thằng trộm nữa công việc nhẹ nhàng quá mak,0,1,1
"Hay, nên có nhiều bài vậy",1,0,0
"Bale hậu vệ cánh trái,Son hậu vệ cánh phải là chuẩn bài Mou nổ rồi",0,0,1
Chạy bộ luôn là cách đơn giản nhất và hiệu quả nhất.,0,0,1
Thật thương tâm. Trách nhiệm phải làm rõ đến cùng từ cấp quản lý đến đơn vị thi công. Xin được chia buồn cùng gia đình,-1,0,0
